item_id,image,description,answer,n
15,all,несколькими,1,3
13,local,частью,1,7
16,false,некоторыми,0,9
14,literal,какими-то,1,10
5,all,частью,1,0
8,literal,некоторыми,1,3
6,false,какими-то,0,5
7,local,несколькими,0,9
9,literal,частью,1,0
9,literal,частью,1,0
10,all,какими-то,1,3
10,all,какими-то,1,6
12,local,некоторыми,1,7
10,all,какими-то,1,1
11,false,несколькими,0,9
11,false,несколькими,0,7
12,local,некоторыми,0,11
11,false,несколькими,0,6
9,literal,частью,0,8
13,local,частью,1,0
11,false,несколькими,0,3
12,local,некоторыми,1,11
14,literal,какими-то,1,3
13,local,частью,1,2
9,literal,частью,1,4
16,false,некоторыми,0,5
15,all,несколькими,1,3
10,all,какими-то,1,8
12,local,некоторыми,0,9
15,all,несколькими,1,10
14,literal,какими-то,1,9
16,false,некоторыми,0,10
11,false,несколькими,0,1
8,literal,некоторыми,0,2
13,local,частью,0,2
12,local,некоторыми,1,6
5,all,частью,1,5
15,all,несколькими,1,1
9,literal,частью,0,7
13,local,частью,1,2
15,all,несколькими,1,6
16,false,некоторыми,0,3
14,literal,какими-то,1,4
16,false,некоторыми,0,7
6,false,какими-то,0,1
14,literal,какими-то,1,8
10,all,какими-то,1,10
5,all,частью,1,2
7,local,несколькими,1,9
6,false,какими-то,0,11
7,local,несколькими,0,4
8,literal,некоторыми,1,7
11,false,несколькими,0,7
10,all,какими-то,1,8
9,literal,частью,0,9
12,local,некоторыми,1,10
13,local,частью,0,4
16,false,некоторыми,0,5
15,all,несколькими,0,6
14,literal,какими-то,1,7
11,false,несколькими,0,0
10,all,какими-то,1,1
9,literal,частью,1,7
12,local,некоторыми,0,9
2,literal,какими-то,1,1
4,false,некоторыми,0,6
1,all,частью,1,7
3,local,несколькими,1,11
12,local,некоторыми,0,0
10,all,какими-то,1,5
11,false,несколькими,0,7
9,literal,частью,1,8
1,all,частью,1,0
2,literal,какими-то,1,1
3,local,несколькими,0,7
4,false,некоторыми,0,8
1,all,частью,1,1
4,false,некоторыми,0,2
3,local,несколькими,0,7
2,literal,какими-то,1,9
13,local,частью,1,0
16,false,некоторыми,0,4
15,all,несколькими,1,5
14,literal,какими-то,1,8
5,all,частью,1,3
7,local,несколькими,0,4
6,false,какими-то,0,6
1,all,частью,1,5
1,all,частью,1,1
4,false,некоторыми,0,7
3,local,несколькими,0,9
2,literal,какими-то,1,10
16,false,некоторыми,0,0
4,false,некоторыми,0,5
2,literal,какими-то,1,6
8,literal,некоторыми,0,10
3,local,несколькими,0,7
13,local,частью,1,2
16,false,некоторыми,0,1
14,literal,какими-то,0,5
14,literal,какими-то,1,3
15,all,несколькими,1,4
1,all,частью,1,0
15,all,несколькими,1,11
3,local,несколькими,1,2
13,local,частью,1,7
4,false,некоторыми,0,4
2,literal,какими-то,1,5
6,false,какими-то,0,1
5,all,частью,1,2
8,literal,некоторыми,1,6
7,local,несколькими,0,9
11,false,несколькими,0,0
12,local,некоторыми,0,5
16,false,некоторыми,0,0
9,literal,частью,1,7
10,all,какими-то,1,10
13,local,частью,1,4
14,literal,какими-то,1,5
12,local,некоторыми,1,3
15,all,несколькими,1,7
10,all,какими-то,1,5
9,literal,частью,0,9
13,local,частью,1,3
11,false,несколькими,0,11
14,literal,какими-то,1,9
15,all,несколькими,1,10
16,false,некоторыми,0,11
1,all,частью,1,5
3,local,несколькими,0,7
2,literal,какими-то,0,8
4,false,некоторыми,0,10
15,all,несколькими,1,1
13,local,частью,1,2
14,literal,какими-то,1,7
16,false,некоторыми,0,9
7,local,несколькими,0,1
6,false,какими-то,0,2
16,false,некоторыми,0,2
8,literal,некоторыми,1,0
14,literal,какими-то,1,5
5,all,частью,1,8
5,all,частью,1,1
15,all,несколькими,1,8
8,literal,некоторыми,1,10
13,local,частью,0,9
6,false,какими-то,0,5
7,local,несколькими,0,7
7,local,несколькими,0,0
8,literal,некоторыми,0,1
6,false,какими-то,0,7
5,all,частью,1,9
2,literal,какими-то,1,2
1,all,частью,1,5
3,local,несколькими,0,8
8,literal,некоторыми,1,0
4,false,некоторыми,0,10
6,false,какими-то,0,4
5,all,частью,1,6
7,local,несколькими,1,7
16,false,некоторыми,0,0
13,local,частью,1,1
14,literal,какими-то,1,2
15,all,несколькими,1,3
2,literal,какими-то,1,6
1,all,частью,1,7
3,local,несколькими,0,9
4,false,некоторыми,0,11
2,literal,какими-то,1,0
2,literal,какими-то,1,0
1,all,частью,1,7
3,local,несколькими,0,9
4,false,некоторыми,0,3
4,false,некоторыми,0,11
3,local,несколькими,1,6
8,literal,некоторыми,1,4
5,all,частью,1,6
6,false,какими-то,0,10
1,all,частью,1,11
7,local,несколькими,0,11
11,false,несколькими,0,1
5,all,частью,1,0
9,literal,частью,0,4
7,local,несколькими,1,5
14,literal,какими-то,1,4
16,false,некоторыми,0,5
14,literal,какими-то,1,6
15,all,несколькими,1,6
15,all,несколькими,1,7
12,local,некоторыми,1,7
10,all,какими-то,1,8
13,local,частью,0,8
6,false,какими-то,0,10
8,literal,некоторыми,0,11
16,false,некоторыми,0,10
13,local,частью,0,11
13,local,частью,0,0
14,literal,какими-то,1,9
15,all,несколькими,1,10
16,false,некоторыми,0,11
3,local,несколькими,0,2
4,false,некоторыми,0,1
4,false,некоторыми,0,5
1,all,частью,1,4
7,local,несколькими,0,1
3,local,несколькими,0,6
1,all,частью,1,8
2,literal,какими-то,1,11
2,literal,какими-то,1,10
6,false,какими-то,0,5
5,all,частью,1,8
6,false,какими-то,0,1
8,literal,некоторыми,1,11
7,local,несколькими,0,3
5,all,частью,1,9
8,literal,некоторыми,1,11
12,local,некоторыми,0,3
9,literal,частью,0,4
10,all,какими-то,1,7
11,false,несколькими,0,8
14,literal,какими-то,1,0
5,all,частью,1,1
6,false,какими-то,0,2
7,local,несколькими,0,3
15,all,несколькими,1,5
8,literal,некоторыми,1,7
16,false,некоторыми,0,9
13,local,частью,0,11
12,local,некоторыми,0,6
9,literal,частью,1,7
10,all,какими-то,1,10
7,local,несколькими,1,0
7,local,несколькими,0,0
11,false,несколькими,0,11
5,all,частью,0,2
8,literal,некоторыми,0,2
16,false,некоторыми,1,1
5,all,частью,1,8
14,literal,какими-то,1,7
6,false,какими-то,0,8
6,false,какими-то,0,11
8,literal,некоторыми,0,9
13,local,частью,1,10
15,all,несколькими,1,11
2,literal,какими-то,1,4
3,local,несколькими,0,5
10,all,какими-то,1,1
4,false,некоторыми,0,9
1,all,частью,1,10
11,false,несколькими,0,3
9,literal,частью,0,4
12,local,некоторыми,1,5
3,local,несколькими,0,3
14,literal,какими-то,1,1
4,false,некоторыми,0,5
1,all,частью,1,6
2,literal,какими-то,1,7
16,false,некоторыми,0,4
15,all,несколькими,1,6
13,local,частью,0,7
4,false,некоторыми,0,2
3,local,несколькими,1,0
4,false,некоторыми,1,2
2,literal,какими-то,1,5
1,all,частью,1,9
1,all,частью,1,8
2,literal,какими-то,1,9
3,local,несколькими,0,11
8,literal,некоторыми,1,1
7,local,несколькими,1,2
6,false,какими-то,0,4
2,literal,какими-то,1,2
3,local,несколькими,0,4
4,false,некоторыми,0,6
1,all,частью,1,9
5,all,частью,1,10
2,literal,какими-то,1,1
1,all,частью,1,2
3,local,несколькими,0,4
4,false,некоторыми,0,6
12,local,некоторыми,1,0
11,false,несколькими,0,3
12,local,некоторыми,0,2
10,all,какими-то,1,5
9,literal,частью,0,3
11,false,несколькими,0,5
9,literal,частью,0,8
10,all,какими-то,1,8
10,all,какими-то,1,2
12,local,некоторыми,1,3
9,literal,частью,0,8
9,literal,частью,0,8
11,false,несколькими,0,11
6,false,какими-то,0,1
7,local,несколькими,0,3
8,literal,некоторыми,1,5
5,all,частью,1,6
1,all,частью,1,3
2,literal,какими-то,1,8
4,false,некоторыми,0,9
3,local,несколькими,0,10
10,all,какими-то,1,1
14,literal,какими-то,1,0
1,all,частью,1,6
4,false,некоторыми,0,7
12,local,некоторыми,0,4
16,false,некоторыми,0,5
2,literal,какими-то,0,8
3,local,несколькими,0,10
13,local,частью,1,8
9,literal,частью,0,6
15,all,несколькими,1,11
11,false,несколькими,0,9
15,all,несколькими,1,3
13,local,частью,1,6
16,false,некоторыми,0,9
14,literal,какими-то,1,10
2,literal,какими-то,1,0
4,false,некоторыми,0,2
3,local,несколькими,0,7
1,all,частью,1,8
3,local,несколькими,0,2
3,local,несколькими,0,0
4,false,некоторыми,0,3
1,all,частью,1,6
2,literal,какими-то,1,5
2,literal,какими-то,1,8
1,all,частью,1,8
4,false,некоторыми,0,11
16,false,некоторыми,0,0
13,local,частью,1,3
15,all,несколькими,1,4
14,literal,какими-то,1,6
3,local,несколькими,0,5
1,all,частью,0,6
4,false,некоторыми,0,8
15,all,несколькими,1,0
13,local,частью,1,2
14,literal,какими-то,0,4
2,literal,какими-то,1,11
16,false,некоторыми,0,8
12,local,некоторыми,0,3
11,false,несколькими,0,4
9,literal,частью,1,6
10,all,какими-то,1,9
6,false,какими-то,0,1
8,literal,некоторыми,1,4
7,local,несколькими,1,8
5,all,частью,1,10
9,literal,частью,0,2
12,local,некоторыми,0,3
10,all,какими-то,1,6
3,local,несколькими,1,0
11,false,несколькими,0,9
4,false,некоторыми,0,5
2,literal,какими-то,1,6
2,literal,какими-то,1,3
1,all,частью,1,9
1,all,частью,0,5
3,local,несколькими,0,7
4,false,некоторыми,0,11
4,false,некоторыми,0,0
1,all,частью,1,1
3,local,несколькими,0,4
1,all,частью,1,0
2,literal,какими-то,1,10
4,false,некоторыми,0,7
3,local,несколькими,0,10
2,literal,какими-то,1,11
3,local,несколькими,1,5
1,all,частью,1,7
2,literal,какими-то,1,8
4,false,некоторыми,0,10
9,literal,частью,0,0
12,local,некоторыми,0,5
11,false,несколькими,0,8
10,all,какими-то,1,9
1,all,частью,1,2
8,literal,некоторыми,1,5
4,false,некоторыми,0,5
3,local,несколькими,0,6
5,all,частью,1,6
6,false,какими-то,0,7
6,false,какими-то,0,1
7,local,несколькими,0,8
2,literal,какими-то,1,11
7,local,несколькими,0,7
8,literal,некоторыми,1,8
5,all,частью,1,11
9,literal,частью,1,0
10,all,какими-то,1,3
9,literal,частью,0,5
11,false,несколькими,1,2
11,false,несколькими,0,7
10,all,какими-то,1,6
12,local,некоторыми,0,8
12,local,некоторыми,0,10
16,false,некоторыми,0,0
15,all,несколькими,1,2
14,literal,какими-то,1,8
13,local,частью,1,9
11,false,несколькими,0,3
12,local,некоторыми,1,4
10,all,какими-то,1,5
9,literal,частью,0,6
11,false,несколькими,0,3
10,all,какими-то,1,4
10,all,какими-то,1,4
12,local,некоторыми,1,6
9,literal,частью,0,9
12,local,некоторыми,0,1
11,false,несколькими,0,2
10,all,какими-то,1,3
9,literal,частью,0,6
6,false,какими-то,0,4
5,all,частью,1,7
8,literal,некоторыми,0,8
7,local,несколькими,1,10
1,all,частью,1,0
2,literal,какими-то,1,9
4,false,некоторыми,0,10
3,local,несколькими,1,11
9,literal,частью,1,0
10,all,какими-то,1,1
12,local,некоторыми,1,4
11,false,несколькими,0,7
15,all,несколькими,1,3
13,local,частью,0,4
14,literal,какими-то,1,10
16,false,некоторыми,0,11
7,local,несколькими,1,1
6,false,какими-то,0,3
5,all,частью,1,5
8,literal,некоторыми,0,11
7,local,несколькими,0,1
6,false,какими-то,0,3
8,literal,некоторыми,1,10
5,all,частью,1,11
8,literal,некоторыми,0,2
5,all,частью,1,6
6,false,какими-то,0,8
7,local,несколькими,1,10
3,local,несколькими,1,0
1,all,частью,1,2
4,false,некоторыми,0,6
2,literal,какими-то,1,7
2,literal,какими-то,1,0
1,all,частью,1,5
4,false,некоторыми,0,7
3,local,несколькими,0,8
2,literal,какими-то,1,0
1,all,частью,1,1
3,local,несколькими,0,7
4,false,некоторыми,0,10
14,literal,какими-то,1,1
13,local,частью,0,5
16,false,некоторыми,0,7
15,all,несколькими,1,8
7,local,несколькими,0,2
5,all,частью,1,4
6,false,какими-то,0,7
8,literal,некоторыми,1,9
11,false,несколькими,0,0
10,all,какими-то,1,1
12,local,некоторыми,0,9
9,literal,частью,0,11
3,local,несколькими,0,2
2,literal,какими-то,1,5
4,false,некоторыми,0,8
1,all,частью,1,10
10,all,какими-то,1,0
9,literal,частью,0,3
12,local,некоторыми,1,5
11,false,несколькими,0,7
15,all,несколькими,1,2
16,false,некоторыми,0,8
13,local,частью,0,9
14,literal,какими-то,1,11
15,all,несколькими,1,0
14,literal,какими-то,1,3
13,local,частью,0,6
16,false,некоторыми,0,9
6,false,какими-то,0,0
7,local,несколькими,0,4
8,literal,некоторыми,1,7
5,all,частью,1,10
2,literal,какими-то,1,0
4,false,некоторыми,0,1
3,local,несколькими,0,2
2,literal,какими-то,1,3
1,all,частью,1,4
4,false,некоторыми,0,5
1,all,частью,1,7
3,local,несколькими,1,10
6,false,какими-то,0,0
5,all,частью,1,4
7,local,несколькими,0,6
8,literal,некоторыми,1,11
15,all,несколькими,1,2
16,false,некоторыми,0,5
13,local,частью,0,8
15,all,несколькими,1,0
14,literal,какими-то,1,11
14,literal,какими-то,1,5
16,false,некоторыми,0,10
13,local,частью,1,11
10,all,какими-то,1,5
12,local,некоторыми,0,8
11,false,несколькими,0,9
9,literal,частью,0,11
16,false,некоторыми,0,3
13,local,частью,0,6
14,literal,какими-то,1,7
15,all,несколькими,1,8
14,literal,какими-то,1,1
15,all,несколькими,1,3
16,false,некоторыми,0,6
13,local,частью,0,8
8,literal,некоторыми,1,0
5,all,частью,1,1
7,local,несколькими,0,7
15,all,несколькими,1,2
13,local,частью,1,3
6,false,какими-то,0,10
16,false,некоторыми,0,7
14,literal,какими-то,1,10
1,all,частью,1,0
2,literal,какими-то,1,3
14,literal,какими-то,1,0
15,all,несколькими,1,1
4,false,некоторыми,0,7
16,false,некоторыми,0,7
13,local,частью,1,9
3,local,несколькими,0,8
16,false,некоторыми,0,0
14,literal,какими-то,1,7
4,false,некоторыми,0,1
13,local,частью,1,10
15,all,несколькими,1,11
3,local,несколькими,0,3
2,literal,какими-то,1,7
1,all,частью,1,10
2,literal,какими-то,1,3
1,all,частью,1,6
4,false,некоторыми,0,7
3,local,несколькими,0,11
5,all,частью,1,0
7,local,несколькими,0,4
8,literal,некоторыми,1,5
6,false,какими-то,0,9
3,local,несколькими,1,0
1,all,частью,1,3
4,false,некоторыми,0,8
2,literal,какими-то,0,11
13,local,частью,1,2
16,false,некоторыми,0,5
15,all,несколькими,1,8
14,literal,какими-то,1,10
16,false,некоторыми,0,5
13,local,частью,1,6
14,literal,какими-то,1,9
15,all,несколькими,1,10
5,all,частью,1,0
6,false,какими-то,0,2
8,literal,некоторыми,1,6
15,all,несколькими,1,0
16,false,некоторыми,0,3
14,literal,какими-то,1,6
13,local,частью,1,10
3,local,несколькими,1,2
3,local,несколькими,0,3
7,local,несколькими,0,8
4,false,некоторыми,0,4
2,literal,какими-то,1,8
1,all,частью,1,6
1,all,частью,1,10
4,false,некоторыми,0,11
2,literal,какими-то,1,10
5,all,частью,1,2
15,all,несколькими,1,0
2,literal,какими-то,1,2
13,local,частью,1,3
1,all,частью,1,4
3,local,несколькими,0,6
16,false,некоторыми,0,7
4,false,некоторыми,0,7
14,literal,какими-то,1,10
8,literal,некоторыми,0,7
7,local,несколькими,0,8
12,local,некоторыми,1,2
11,false,несколькими,0,3
10,all,какими-то,1,5
9,literal,частью,0,6
6,false,какими-то,0,11
9,literal,частью,1,0
10,all,какими-то,1,3
11,false,несколькими,0,5
12,local,некоторыми,0,8
15,all,несколькими,1,0
13,local,частью,0,1
14,literal,какими-то,1,2
16,false,некоторыми,0,7
8,literal,некоторыми,1,1
5,all,частью,1,5
7,local,несколькими,0,8
6,false,какими-то,0,11
7,local,несколькими,0,0
8,literal,некоторыми,0,2
6,false,какими-то,0,6
5,all,частью,1,11
4,false,некоторыми,0,3
2,literal,какими-то,1,7
1,all,частью,1,8
3,local,несколькими,0,9
1,all,частью,0,0
2,literal,какими-то,1,3
4,false,некоторыми,0,8
3,local,несколькими,0,11
4,false,некоторыми,0,0
3,local,несколькими,0,5
2,literal,какими-то,1,9
1,all,частью,1,11
7,local,несколькими,0,1
8,literal,некоторыми,0,2
5,all,частью,1,4
6,false,какими-то,0,8
4,false,некоторыми,0,2
2,literal,какими-то,1,3
3,local,несколькими,0,9
1,all,частью,1,10
9,literal,частью,0,2
10,all,какими-то,1,5
12,local,некоторыми,0,6
11,false,несколькими,0,8
16,false,некоторыми,0,1
13,local,частью,0,3
14,literal,какими-то,1,6
5,all,частью,1,0
15,all,несколькими,1,9
6,false,какими-то,0,1
8,literal,некоторыми,1,7
7,local,несколькими,0,9
10,all,какими-то,1,0
12,local,некоторыми,0,8
9,literal,частью,1,9
11,false,несколькими,0,10
2,literal,какими-то,1,4
3,local,несколькими,0,7
4,false,некоторыми,0,9
1,all,частью,1,10
12,local,некоторыми,1,0
11,false,несколькими,0,1
9,literal,частью,0,3
10,all,какими-то,1,7
2,literal,какими-то,1,0
4,false,некоторыми,0,1
1,all,частью,1,5
3,local,несколькими,0,11
16,false,некоторыми,0,2
15,all,несколькими,1,6
13,local,частью,1,7
14,literal,какими-то,1,10
19,literal,несколькими,1,0
17,local,какими-то,1,1
